SiteID,Description,Easting,Northing,RiverID,River
10008,GIPSY LANE ,303200,376000,66,ELWY
10009,DIPPING BRIDGE ,289100,178400,120,OGMORE
10010,ABERDULAIS ,277300,199000,113,NEATH
10011,ST FAGANS ,311900,176900,67,ELY
10012,LLANDAFF NORTH ,315300,178500,145,TAFF
10013,LLANRHYMNEY ,321400,180700,130,RHYMNEY
10014,MAENTWROG BRIDGE ,266600,340700,58,DWYRYD
10015,PONT-Y-GARTH BRIDGE ,263600,307100,59,DYSYNNI
10016,BONTNEWYDD BRIDGE ,248300,359800,81,GWYRFAI
10017,DOVEY BRIDGE ,274800,301900,56,DOVEY (OR DYFI)
10018,"PONT FAWR, DOLGELLAU ",273000,317900,188,WNION
10019,GANLLWYD ,272900,323300,105,MAWDDACH
10020,PONT CROESOR ,259300,341300,78,GLASLYN
10021,DOLBENMAEN ROAD BRIDGE ,248700,340000,57,DWYFAWR
10022,TALYBONT FOOTBRIDGE ,260100,369900,121,OGWEN
10023,CWM LLANERCH ,280100,359500,39,CONWY
10024,MORRISTON ROAD BRIDGE ,267400,197900,150,TAWE
10025,YNYS LLWCHWR ,261800,208900,98,LOUGHOR
10026,NANTGAREDIG ROAD BRIDGE ,249100,220400,165,TOWY (OR TYWI)
10027,CLOG-Y-FRAN BRIDGE ,223800,216100,144,TAF
10028,CANASTON BRIDGE ,207000,215300,62,EASTERN CLEDDAU
10029,MART FOOTBRIDGE ,195300,215900,181,WESTERN CLEDDAU
10030,LLECHRYD BRIDGE ,221700,243600,153,TEIFI
10031,LLANFARIAN BRIDGE ,259000,277800,192,YSTWYTH
10032,PENYBONT BRIDGE ,259400,280300,129,RHEIDOL
10033,CHAIN BRIDGE ,334500,205600,171,USK
10034,PONTHIR WEIR ,333000,192400,2,AFON LWYD
10035,RHIWDERIN ,325900,188900,63,EBBW FAWR
10036,BRIDGE SOLLARS BRIDGE ,341300,242500,189,WYE
10037,REDBROOK RAILWAY BRIDGE ,353600,209800,189,WYE
10038,GLYN FOOTBRIDGE ,296500,265600,65,ELAN
10039,PRENDERGAST MILL ,195400,217700,181,WESTERN CLEDDAU
10040,ABERGWILI ROAD BRIDGE ,243400,221000,80,GWILI
10041,RHYDYFELIN ,258800,278800,192,YSTWYTH
10042,LLANSAMLET ,267000,196600,112,NANT Y FENDROD
11001,FAIRY HILLOCK ,334400,951900,186,WICK
11002,INVERAN POWER STATION ,257500,897500,135,SHIN
11003,A9 ROAD BRIDGE ,254000,855800,38,CONON
11004,A9 ROAD BRIDGE ,251700,845000,17,BEAULY
11005,INVERNESS ,266500,844500,115,NESS
11006,NAIRN ,288700,856100,111,NAIRN
11007,A96 ROAD BRIDGE ,301200,858200,73,FINDHORN
11008,A830 ROAD BRIDGE,193800,842500,95,LOCHY
11009,A890 ROAD BRIDGE ,193800,842500,31,CARRON
11010,THURSO ,311200,967300,162,THURSO
12001,ARTHURS BRIDGE ,325300,867200,97,LOSSIE
12002,FOCHABERS ,334100,859600,142,SPEY
12003,BRIDGE OF ALVAH ,368000,861100,50,DEVERON
12004,INVERUGIE ,410900,848300,169,UGIE
12005,ELLON ,395700,830300,193,YTHAN
12006,GRANDHOLM BRIDGE ,392400,809300,53,DON
12007,MARYCULTER BRIDGE ,385800,800300,48,DEE
13001,KEMBACK ,341500,715800,64,EDEN
13002,FORTEVIOT BRIDGE ,304900,717600,61,EARN
13003,PERTH (QUEENS BRIDGE) ,312200,723400,151,TAY
13004,BALMOSSIE MILL ,347700,732400,52,DIGHTY WATER
13005,KINNAIRDS MILL ,363200,758200,139,SOUTH ESK
13006,MARYKIRK ,368600,765000,118,NORTH ESK
14001,NATIONAL STEEL FOUNDRY ,337200,700400,92,LEVEN
14002,CAMBUS BRIDGE ,285300,694100,51,DEVON
14003,BRIDGE OF ALLAN ,278900,697600,4,ALLAN
14004,"BRIDGE OF TEITH, DOUNE ",272200,701300,155,TEITH
14005,CRAIGFORTH ,277500,695500,74,FORTH
14006,CARRON IRON WORKS ,288300,682400,31,CARRON
14007,JINKABOOT BRIDGE ,294700,679700,13,AVON
14008,CRAIGIEHALL ,316500,675200,5,ALMOND
14009,ANDERSON PLACE ,325800,675600,174,WATER OF LEITH
14010,MUSSELBURGH ,333900,672400,69,ESK
14011,EAST LINTON ,359300,677200,168,TYNE
15001,NORHAM ,389800,647700,167,TWEED
15002,CHESTERFIELD FORD ,393700,653500,185,WHITEADDER
15003,EYEMOUTH MILL ,394200,663500,71,EYE
16001,CANONBIE GAUGING STATION ,339700,575100,69,ESK
16002,BRYDEKIRK GAUGING STATION ,319100,570400,10,ANNAN
16003,"MARYHOME BRIDGE, DUMFRIES ",297300,576500,116,NITH
16004,DALBEATTIE GAUGING STATION ,282200,561000,170,URR WATER
16005,GLENLOCHAR GAUGING STATION ,273300,564200,48,DEE
16006,NEWTON STEWART GAUGING STATION,241200,565300,41,CREE
16007,AIRYHEMMING GAUGING STATION ,218000,559900,175,WATER OF LUCE
17001,GLASGOW GREEN ,259500,664500,35,CLYDE
17002,PARTICK BRIDGE ,255500,670600,88,KELVIN
17003,HAWKHEAD ,249900,662900,184,WHITE CART
17004,BLACKSTOUN FARM BRIDGE ,245900,666000,20,BLACK CART
17005,RENTON FOOTBRIDGE ,238900,678300,92,LEVEN
17006,CALDERPARK ,268100,662400,117,NORTH CALDER
17007,ORBISTON PARK ,273300,658000,138,SOUTH CALDER
17008,DAM AT PARKHALL ,234300,621600,15,AYR
17009,IRVINE/ANNICK CONFLUENCE ,234500,637500,85,IRVINE
17010,A71 ROAD BRIDGE ,233100,638300,11,ANNICK
17011,"DIRRANS WEIR, KILWINNING ",230800,642700,77,GARNOCK
17012,EGLINTON CASTLE BRIDGE ,231800,642200,99,LUGTON
27008,GALASHIELS ,351000,634700,167,TWEED
27010,LOUGH NEAGH ,NaN,NaN,1,NOT A RIVER
27011,RUTLAND WATER ,490500,308300,1,NOT A RIVER
27012,TUNSTALL RESERVOIR ,406700,540700,1,NOT A RIVER
27013,PATCHAM BOREHOLES ,529400,109100,1,NOT A RIVER
27014,AUSTERFIELD BOREHOLES ,466200,396300,1,NOT A RIVER
